SUBURB,NO OF ACCIDENTS,NO OF BICYCLISTS,NO OF PED,NO OF VEHICLES
CARLTON,160,162,2,321
BRUNSWICK,176,176,5,345
OAKLEIGH SOUTH,14,14,0,27
WINDSOR,62,63,1,124
BRUNSWICK WEST,32,32,1,64
MELBOURNE,587,595,28,1171
FITZROY NORTH,131,131,2,256
TOORAK,30,31,0,61
KENSINGTON,47,47,1,94
CARNEGIE,22,23,0,46
SEAFORD,30,31,3,56
RINGWOOD,16,16,0,33
UPWEY,1,1,0,2
ESSENDON,33,34,0,67
PARKVILLE,67,71,1,138
ELTHAM,16,17,0,33
COBURG,83,83,0,167
CRIB POINT,2,2,0,4
ALBERT PARK,57,59,0,119
PRESTON,82,82,1,158
MOONEE PONDS,28,28,0,54
SANDRINGHAM,34,35,0,67
FRANKSTON,30,31,0,62
PORT MELBOURNE,43,44,0,87
BRIGHTON,109,113,2,218
RESERVOIR,41,41,1,80
HAMPTON,30,32,0,60
ASCOT VALE,33,33,0,64
OAKLEIGH,14,14,1,27
CAULFIELD EAST,9,9,0,18
EPPING,27,27,0,55
KANGAROO GROUND,10,10,0,20
WILLIAMSTOWN NORTH,5,5,0,10
BLACK ROCK,31,35,0,65
RICHMOND,143,145,1,283
POINT COOK,26,26,2,49
ST KILDA,129,132,4,256
CAMBERWELL,37,37,1,73
SAFETY BEACH,5,6,0,10
BRAYBROOK,8,8,0,16
GLEN IRIS,40,40,0,78
PRAHRAN,71,72,2,142
ELWOOD,67,72,1,139
SOUTHBANK,79,81,2,155
MENTONE,32,39,0,70
FLEMINGTON,34,34,0,65
CARLTON NORTH,102,102,3,204
WEST MELBOURNE,60,61,1,119
MILL PARK,8,8,1,16
SOUTH MELBOURNE,70,70,1,138
MIDDLE PARK,29,29,2,56
NORTH MELBOURNE,105,105,2,205
GLENROY,6,6,0,12
SORRENTO,5,5,0,10
HIGHETT,9,9,0,18
MALVERN EAST,23,23,1,44
NOBLE PARK,18,18,0,37
FITZROY,166,167,8,339
MALVERN,19,19,1,36
OLINDA,7,7,0,14
WILLIAMSTOWN,37,40,1,73
ST KILDA EAST,39,39,1,78
MORNINGTON,29,31,0,60
ABBOTSFORD,72,73,0,141
NORTHCOTE,106,108,2,207
ALTONA,36,37,1,72
MORDIALLOC,36,36,2,74
KEILOR,2,2,0,3
NUNAWADING,14,15,0,29
ENDEAVOUR HILLS,3,3,0,6
TRAVANCORE,12,12,0,24
GLEN WAVERLEY,28,28,0,56
COLLINGWOOD,111,111,0,221
PARKDALE,19,21,0,39
CLIFTON HILL,41,44,0,84
SASSAFRAS,3,3,0,7
STRATHMORE,9,9,0,17
DOCKLANDS,55,55,1,107
CHELSEA,27,29,0,55
SOUTH YARRA,122,122,2,241
BRIGHTON EAST,29,29,0,58
SURREY HILLS,13,13,0,26
BALACLAVA,26,26,0,52
HASTINGS,3,3,0,6
ST KILDA WEST,20,20,0,41
