"SUBURB","NO.OF.ACCIDENTS","NO.OF.BICYCLISTS","NO.OF.PED","NO.OF.VEHICLES","cluster"
"CARLTON",160,162,2,321,1
"BRUNSWICK",176,176,5,345,1
"OAKLEIGH SOUTH",14,14,0,27,8
"WINDSOR",62,63,1,124,7
"BRUNSWICK WEST",32,32,1,64,4
"MELBOURNE",587,595,28,1171,6
"FITZROY NORTH",131,131,2,256,1
"TOORAK",30,31,0,61,10
"KENSINGTON",47,47,1,94,4
"CARNEGIE",22,23,0,46,2
"SEAFORD",30,31,3,56,4
"RINGWOOD",16,16,0,33,2
"UPWEY",1,1,0,2,3
"ESSENDON",33,34,0,67,10
"PARKVILLE",67,71,1,138,7
"ELTHAM",16,17,0,33,2
"COBURG",83,83,0,167,7
"CRIB POINT",2,2,0,4,3
"ALBERT PARK",57,59,0,119,7
"PRESTON",82,82,1,158,7
"MOONEE PONDS",28,28,0,54,10
"SANDRINGHAM",34,35,0,67,10
"FRANKSTON",30,31,0,62,10
"PORT MELBOURNE",43,44,0,87,10
"BRIGHTON",109,113,2,218,1
"RESERVOIR",41,41,1,80,4
"HAMPTON",30,32,0,60,10
"ASCOT VALE",33,33,0,64,10
"OAKLEIGH",14,14,1,27,5
"CAULFIELD EAST",9,9,0,18,8
"EPPING",27,27,0,55,10
"KANGAROO GROUND",10,10,0,20,8
"WILLIAMSTOWN NORTH",5,5,0,10,9
"BLACK ROCK",31,35,0,65,10
"RICHMOND",143,145,1,283,1
"POINT COOK",26,26,2,49,4
"ST KILDA",129,132,4,256,1
"CAMBERWELL",37,37,1,73,4
"SAFETY BEACH",5,6,0,10,9
"BRAYBROOK",8,8,0,16,8
"GLEN IRIS",40,40,0,78,10
"PRAHRAN",71,72,2,142,7
"ELWOOD",67,72,1,139,7
"SOUTHBANK",79,81,2,155,7
"MENTONE",32,39,0,70,10
"FLEMINGTON",34,34,0,65,10
"CARLTON NORTH",102,102,3,204,1
"WEST MELBOURNE",60,61,1,119,7
"MILL PARK",8,8,1,16,5
"SOUTH MELBOURNE",70,70,1,138,7
"MIDDLE PARK",29,29,2,56,4
"NORTH MELBOURNE",105,105,2,205,1
"GLENROY",6,6,0,12,9
"SORRENTO",5,5,0,10,9
"HIGHETT",9,9,0,18,8
